# Kova 指标校准样本库 — 每行=一张带标签的截图。date=直播/截图日(数据截至该日)。
# score: 整数/NaN(数据不足或被遮挡)。health: HEALTHY/WATCH/UNHEALTHY。reduce: REDUCE/Hold/-(WATCH与UNHEALTHY显示—)。
# panel_price: 面板盘中价(空=用结算收盘回退)。star:1=⭐。vol_color:末根六色量柱(视觉)。momentum:动能震荡器形态(视觉)。screenshot:原图路径。
# 参数发现(05/18截图): Kova动能积累参数=9,21(非猜的10/30); Kova Essentials=10E/20E/50S/200S+50均量。DDOG周线另算不混入。
date,ticker,score,health,reduce,panel_price,star,note,vol_color,momentum,screenshot
2026-06-02,DELL,99,HEALTHY,REDUCE,452.52,0,★REDUCE@5.55ATR(不同环境RISK-ON周),亮蓝中绿climax,亮蓝在场,kova_screenshots/2026-06-02/DELL.webp
2026-06-02,DDOG,99,HEALTHY,REDUCE,262.58,0,★REDUCE@4.10ATR,中绿放量,亮蓝在场,kova_screenshots/2026-06-02/DDOG.webp
2026-06-02,MU,99,HEALTHY,REDUCE,1030.82,0,★REDUCE@3.61ATR;MU序列99(6/2)→...→93(6/10),亮紫缩量,亮蓝在场,kova_screenshots/2026-06-02/MU.webp
2026-06-02,INTC,81,UNHEALTHY,-,106.54,0,破10/20E;序列81(6/2)→...,满红派发,蓝转弱,kova_screenshots/2026-06-02/INTC.webp
2026-06-02,MXL,82,UNHEALTHY,-,86.43,0,MXL序列82U(6/2)→82H(6/4)→75U(6/10)边界震荡,浅,蓝衰减,kova_screenshots/2026-06-02/MXL.webp
2026-06-02,MRVL,99,HEALTHY,REDUCE,271.85,1,★REDUCE@3.92(+24%财报gap);MRVL序列99R(6/2)→98R(6/4)→98H(6/5),亮蓝climax,亮蓝在场,kova_screenshots/2026-06-02/MRVL.webp
2026-06-02,ARM,99,HEALTHY,REDUCE,401.18,0,★REDUCE@3.95,亮蓝放量,亮蓝在场,kova_screenshots/2026-06-02/ARM.webp
2026-06-02,NBIS,99,HEALTHY,Hold,266.82,1,★99分却Hold(dev21=2.49<3.0)=REDUCE独立于分数铁证,亮紫缩量,亮蓝在场,kova_screenshots/2026-06-02/NBIS.webp
2026-06-02,DOCN,99,HEALTHY,Hold,173.13,0,★99分却Hold(dev21=2.12),亮紫缩量,亮蓝在场,kova_screenshots/2026-06-02/DOCN.webp
2026-06-02,OSCR,41,HEALTHY,Hold,22.33,0,★低分健康;OSCR序列41(6/2)→45(6/4)→99(6/10)=真RS百分位爬升铁证,亮紫缩量,蓝底部,kova_screenshots/2026-06-02/OSCR.webp
2026-06-02,SNDK,99,HEALTHY,Hold,1729.98,0,SNDK序列99(6/2)→99(6/4)→96(6/5)→93(6/10),亮紫缩量,亮蓝在场,kova_screenshots/2026-06-02/SNDK.webp
2026-06-02,NOK,95,HEALTHY,Hold,16.64,0,NOK 95H(6/2)→89U(6/10)见顶回落,中绿放量,亮蓝在场,kova_screenshots/2026-06-02/NOK.webp
2026-06-02,SYNA,94,HEALTHY,Hold,142.31,0,新票-强趋势站全均线,亮紫缩量,蓝转正,kova_screenshots/2026-06-02/SYNA.webp
2026-06-02,KGS,75,UNHEALTHY,-,66.53,0,新票-Kodiak Gas见顶回落破10/20E,中红,蓝衰减,kova_screenshots/2026-06-02/KGS.webp
2026-06-02,BB,99,HEALTHY,REDUCE,9.77,1,★REDUCE@3.61抛物线尖顶,亮蓝中绿climax,亮蓝在场,kova_screenshots/2026-06-02/BB.webp
2026-06-02,OKTA,96,HEALTHY,REDUCE,131.18,0,★REDUCE@4.35抛物线spike,亮蓝climax,亮蓝刚转正,kova_screenshots/2026-06-02/OKTA.webp
2026-06-02,ALAB,97,HEALTHY,Hold,337.62,0,ALAB序列97(6/2)→98(6/4)→94(6/10),亮紫缩量,亮蓝在场,kova_screenshots/2026-06-02/ALAB.webp
2026-06-02,GOOG,75,UNHEALTHY,-,367.46,0,GOOG见顶回落破10/20E(6/2=6/5都75U),满红派发,蓝转弱,kova_screenshots/2026-06-02/GOOG.webp
2026-06-02,DTM,43,UNHEALTHY,-,140.45,0,新票DT Midstream-低分破位;动能近零,浅,蓝衰减,kova_screenshots/2026-06-02/DTM.webp
2026-06-02,TSLA,18,HEALTHY,Hold,420.96,0,★★站全均线却18分=RS仅28;Kova批注'LOST MOMENTUM横盘2年'=RS scanner最强验证,浅横盘,动能近零,kova_screenshots/2026-06-02/TSLA.webp
2026-06-02,RKLB,92,HEALTHY,Hold,127.40,0,RKLB 92H(6/2)→84U(6/10);RS=85,亮蓝climax,亮蓝在场,kova_screenshots/2026-06-02/RKLB.webp
2026-06-02,BE,91,HEALTHY,Hold,299.30,0,BE 91H(6/2)→79U(6/10);RS=82,亮蓝中绿放量,亮蓝在场,kova_screenshots/2026-06-02/BE.webp
2026-06-02,SIVE,99,HEALTHY,Hold,94.05,1,"瑞典股SEK(LongPort拉不到,引擎跳过);+54%爆发⭐",亮蓝climax,亮蓝在场,kova_screenshots/2026-06-02/SIVE.webp
2026-05-27,MU,99,HEALTHY,REDUCE,911.60,1,★新周!MU突破REDUCE@2.96(最低REDUCE锚点);序列99R(5/27)→99R(6/2)→96(6/5)→93(6/10),亮蓝climax,亮蓝在场,kova_screenshots/2026-05-27/MU.webp
2026-05-27,QQQ,99,HEALTHY,Hold,728.46,0,★QQQ见顶序列99H(5/27)→95WATCH(6/5)→89U(6/10),亮紫缩量,亮蓝在场,kova_screenshots/2026-05-27/QQQ.webp
2026-05-27,RKLB,99,HEALTHY,Hold,145.39,1,★RKLB见顶序列99H(5/27)→92(6/2)→84U(6/10),中绿放量,亮蓝在场,kova_screenshots/2026-05-27/RKLB.webp
2026-05-27,HUT,98,HEALTHY,Hold,111.33,0,新周HUT强势,中绿放量,亮蓝在场,kova_screenshots/2026-05-27/HUT.webp
2026-05-27,CRWV,34,UNHEALTHY,-,101.59,0,新票CoreWeave-顶部回落破50S距高-45%,亮紫缩量,蓝衰减,kova_screenshots/2026-05-27/CRWV.webp
2026-05-27,NOK,99,HEALTHY,Hold,15.91,0,NOK见顶序列99(5/27)→95(6/2)→89U(6/10),亮蓝climax,亮蓝在场,kova_screenshots/2026-05-27/NOK.webp
2026-05-27,MXL,89,HEALTHY,Hold,98.60,0,MXL序列89H(5/27)→82U(6/2)→82H(6/4)→75U(6/10)震荡,中红,亮蓝在场,kova_screenshots/2026-05-27/MXL.webp
2026-05-27,AAOI,90,HEALTHY,Hold,186.00,0,AAOI序列90(5/27)→81(6/10),亮蓝放量,亮蓝在场,kova_screenshots/2026-05-27/AAOI.webp
2026-05-27,LITE,78,UNHEALTHY,-,880.48,0,新票Lumentum-顶部回落破10/20E(距高-16%),中红派发,蓝转弱,kova_screenshots/2026-05-27/LITE.webp
2026-05-27,ARM,98,HEALTHY,Hold,303.11,0,ARM序列98(5/27)→99(6/2)→98(6/4)→97(6/5);dev21=2.89刚低于REDUCE2.93=Hold印证阈值,亮紫缩量,亮蓝在场,kova_screenshots/2026-05-27/ARM.webp
2026-05-27,BE,93,HEALTHY,Hold,290.16,0,BE见顶序列93(5/27)→91(6/2)→79U(6/10),中绿放量,亮蓝在场,kova_screenshots/2026-05-27/BE.webp
2026-05-27,AXTI,96,HEALTHY,Hold,121.96,0,AXTI见顶序列96H(5/27)→80U(6/10)大幅衰减,亮紫缩量,亮蓝在场,kova_screenshots/2026-05-27/AXTI.webp
2026-05-18,NBIS,98,HEALTHY,Hold,203.90,0,NBIS序列98(5/18)→99(6/2)→93(6/10),亮紫缩量,蓝回落,kova_screenshots/2026-05-18/NBIS.webp
2026-05-18,AXTI,94,HEALTHY,Hold,114.26,0,AXTI序列94(5/18)→96(5/27)→80U(6/10),中红,亮蓝在场,kova_screenshots/2026-05-18/AXTI.webp
2026-05-18,SNDK,92,HEALTHY,Hold,1332.00,0,SNDK序列92(5/18)→99(5/27)→...→93(6/10)爬升后衰减,亮紫缩量,亮蓝在场,kova_screenshots/2026-05-18/SNDK.webp
2026-05-18,BE,88,HEALTHY,Hold,266.30,0,BE序列88(5/18)→93(5/27)→91(6/2)→79U(6/10),中红,蓝在场,kova_screenshots/2026-05-18/BE.webp
2026-05-18,LWLG,88,UNHEALTHY,-,12.22,0,新票LightwaveLogic-4涨到19后崩盘破20E(高分但破位),满红派发,蓝衰减,kova_screenshots/2026-05-18/LWLG.webp
